title	start	end	name	year
'Time, Tide, and Formation Wait for No One': Cultural and Social Change at the United States Naval Academy, 1949-2000	1949	2000	Michael Gelfand	2002
Into the Storm: American Covert Involvement in the Angolan Crisis and Civil War, 1974-76	1974	1976	Shannon Butler	2009
La Politica del Buen Amigo: Mexican-Latin American Relations during the Presidency of Lazaro Cardenas, 1934-40	1934	1940	Amelia Kiddle	2010
Employers, Unite? Organized Business Responses to the Rise of Labor Unions in the United States, 1900-17	1900	1917	Vilja Hulden	2011
Ernest W. McFarland: Southwestern Progressive, The United States Senate Years, 1940-52	1940	1952	James McMillan	1990
'...To Preserve Peace on the Frontiers': Indian Depredation Claims and Native American Policy, 1796-1920	1796	1920	Larry Skogen	1993
Native American Women and Community Work in Phoenix, 1965-80	1965	1980	Päivi Hoikkala	1995
Cherokee and American: Ruth Muskrat Bronson, 1897-1982	1897	1982	Gretchen Harvey	1996
The School of the Hills: American Indians and the Rapid City Indian School, 1898-1933	1898	1933	Scott Riney	1996
The Churchill Legend in the United States, 1940-65	1940	1965	Jonathan Sikorsky	1997
The Politics of Dunes, Redwoods, and Dams: Arizona's 'Brothers Udall' and America's National Parklands, 1961-69	1961	1969	James Bailey	1999
The Good Life the Hard Way: The Mexican American Community of Fort Stockton, Texas, 1930-45	1930	1945	Sr. Maria Flores	2000
Making a Native Place in Urban Schools: American Indians and Education in Phoenix, 1940-2000	1940	2000	Stephen Amerman	2002
American Indian Movement Survival Schools in Minneapolis and St. Paul, 1968-2002	1968	2002	Julie Davis	2004
Always a Struggle: Mexican Americans in Miami, Arizona, 1909-51	1909	1951	Christine Marin	2005
Desert Dreams: Mexican American Education in Arizona, 1870-1930	1870	1930	Laura Munoz	2006
Soldiers and Scientists: The Politics of Exploring the American West, 1803-79	1803	1879	David Dean	2006
El Senador, Dennis Chávez: New Mexico Native Son, American Senior Statesman, 1888-1962	1888	1962	Rosemary Diaz	2006
Crossroads of Indian Country: Native American Community in Denver, 1950-2005	1950	2005	Azusa Ono	2008
Preservation Wars in 'America's Finest City': Conflict and Compromise between Historical and Modern Identity in San Diego, 1945-2006	1945	2006	Judith Schultz	2011
'For You the War Is Over': The Treatment and Life of United States Army and Army Air Corps Personnel Interned in POW Camps in Germany, 1942-1945	1942	1945	David Foy	1981
A Friend to the Prisoner: Edward Grubb's American Tour of 1904 and Quaker Social Action	1904	1904	William McGuire	1992
From American Invasion to British Innovation: Rock Music in Great Britain, 1954-70	1954	1970	Julie Smith	1999
A Rift in the Clouds: Southern Federal Judges and African-American Civil Rights, 1888-1915	1888	1915	Brent Aucoin	1999
Mercenary Eagles: American Pilots Serving in Foreign Air Forces prior to U.S. Entry into World War II, 1936-41	1936	1941	William Smith	1999
The Voice of Freedom: Radio Free Europe and American Society, 1948-68	1948	1968	John Wampler	2000
Ambitious Alliance: Jordanian-American Relations during the Cold War, 1948-69	1948	1969	Clea Bunch	2004
The Feathered Kingdom: Tyson Foods and the Transformation of American Land, Labor, and Law, 1930-2005	1930	2005	Brent Riffel	2008
Tangled Hope:  America, China, and Human Rights at the End of the Cold War, 1976-2000	1976	2000	Jared Phillips	2013
Origins of the United States Army Advisory System: Its Latin American Experience, 1922-45	1922	1945	James Lacy	1977
The United States Navy in China, 1925-28	1925	1928	Bernard Cole	1978
Augustus Hill Garland, 1832-99: Arkansas Layer to United States Attorney-General	1832	1899	Beverly Watkins	1985
London City Politics during the Age of the American Revoluntionary War, 1760-83	1760	1783	Kimberly Estep	1993
Fue-Sen Chan: A Chinese Scientist in the United States, 1920-50	1920	1950	Jingsheng Dong	1996
The Quest for Speed: An American Virtue, 1825-1930	1825	1930	Christian Gelzer	1998
Into the Wind: A History of the American Wind Tunnel, 1896-1941	1896	1941	James Lee	2001
Wherever that Singing is Going: The Interaction of Crow and Euro-American Women, 1880-1945	1880	1945	Becky Matthews	2002
New Prophets for Emerging American Subcultures: The Rise of Women and African American Evangelists in the Independent Charismatic Movement, 1950-2000	1950	2000	Scott Billingsley	2004
Echoes That Never Were: American Mobile Intercontinental Ballistic Missiles, 1956-83	1956	1983	Steven Pomeroy	2007
Louise Blanchard Bethune: Architect Extraordinaire and First American Woman Architect, Practiced in Buffalo, New York, 1881-1905	1881	1905	Johanna Hays	2008
The Captain America Conundrum: Issues of Patriotism, Race, and Gender in Captain America Comic Books, 1941-2001	1941	2001	Richard Hall	2011
The Second Reconstruction in Local Politics: Alabama Grassroots Activists Fulfilling the Promise of the Voting Rights Act, 1960-90	1960	1990	Lawrence McLemore	2013
Theories of Americanization Operative in Gary Schools, 1907-1917	1907	1917	Agha Ali	1964
The German-American Vote in the Election of 1860: The Case of Indiana with Supporting Data from Ohio	1860	1860	Thomas Kelso	1967
Poland and the Molotov-Ribbentrop Pact: A Study of Selected Slavic-American Editorial Opinion, Mid-March through September, 1939	1939	1939	Andrew Rusnak	1970
John Graves Simcoe and the United States, 1775-1796: A Study in Anglo-American Frontier Diplomacy	1775	1796	James Danglade	1972
Conservatism and Liberalism in the American Congress: A Selected Study of Congressional Voting Ratings, 1947-1972	1947	1972	Glenn Martin	1973
An Episode in United States Foreign Trade: Silver and Gold, Sante Fe and St. Louis 1820- 1840	1820	1840	Thomas Brown	1974
Congressman Francis H. Case and American Foreign Relations, 1937-1941	1937	1941	Robert Webb	1974
Politics in Middletown: A Reconstruction of Municipal Government and Community Power in Muncie, Indiana, 1925-1935	1925	1935	Carrolyle Frank	1974
The Image of the American Businessman in the Popular Press, 1928-1941	1928	1941	Kenneth Meeks	1975
Polish American Pressure Groups, Woodrow Wilson and the Thirteenth Point: The Significance of Polish Food Relief; the Polish Vote in the 1916 Presidential Election, and European Events in the Eventual Self-Determination for Poland	1916	1916	William Manijak	1975
The American Soviet Nuclear Confrontation of 1962: An Historiographical Account of the Cuban Missile Crisis	1962	1962	William Medland	1980
American Missionaries in Iran, 1834-1934	1834	1934	Ahmad Mansoori	1986
Reporting Wartime Germany: Perceptions of American Journalists in Berlin, 1939-1941	1939	1941	Catherine Byers	1986
America's Game in Middletown USA: Baseball in Muncie, Indiana, 1876-1953	1876	1953	Richard Neel	1989
Women and Education: Social Feminism and Intellectual Emancipation in England and America, 1780-1860	1780	1860	Sushmita Ghosh-Hodges	1989
Caleb Cushing and the Foreign Policy of the United States, 1860–77	1860	1877	Mary of St. Celine Parent	1958
Americans and Englishmen through Each Other's Eyes, 1850-60: A Study of National Spirit	1850	1860	Therese Donovan	1963
An Historical Study of Admission Practices In Four-Year Undergraduate Colleges of the United States, 1870-1915	1870	1915	Herbert Malick	1966
The United States and the Formation of Greater Romania, 1914-18: A Study in Diplomacy and Propaganda	1914	1918	A. Thomas Devasia	1970
British and American Policies towards Romania, 1938-47	1938	1947	Paul Quinlan	1974
Guatemala and the United States, 1954: A Cold War Strategy for the Americas	1954	1954	Richard Immerman	1979
The Acropolis of Hellenism In America: First Generation Greeks In Lowell, Massachusetts, 1895-1922	1895	1922	Genevieve Robinson	1986
Managing Partner: Joseph W. Martin Jr. Republican Leader of the United States House of Representatives, 1939-1959	1939	1959	William Hasenfus	1986
German Reconstruction and Labor Activism: The Case Study of Dortmund, 1945-1955	1945	1955	James Diskant	1988
An Analysis of the Dartmouth College Case and Its Impact on the Founding of American Colleges and Universities, 1819-1839	1819	1839	Mary Beach	1990
The Conspiracy That Never Was: United States Government Surveillance of Eastern European American Leftists, 1942-1959	1942	1959	Jeffrey Ryan	1990
Catholic Witness: The Political Activities of Five European Christian Democratic Scholars while in Exile in the United States, 1938-45	1938	1945	Kathleen Connelly	1995
'The Truest Patriots': The United States Sanitary Commission and Women's Reform in Tradition, 1861-1865	1861	1865	Judith Giesberg	1999
The Hope of the Race: African Americans at White Colleges and Universities, 1890-1915	1890	1915	Robert Bellinger	2000
Vigor in Arduis: A History of Boston's African-American Catholic Community, 1788-1988	1788	1988	William Leonard	2000
Making the Body Politic: Narratives of Race, Sexuality and Citizenship in the United States, 1864-1909'	1864	1909	Ann Holder	2000
Isolation, Assimilation, and Opposition: A Reception History of the Horkheimer Circle in the United States, 1934-79	1934	1979	Thomas Wheatland	2002
New England's America: Transatlantic Protestantism, Regionalism, and Nationalism in the Early Republic, 1789-1825	1789	1825	Stephanie Kermes	2003
American Internationalism: Peace Advocacy and International Relations, 1895-1916	1895	1916	Cecelie Reid	2005
Arguing Americanism: John Eoghan Kelly's Franco Lobby, 1936-46	1936	1946	Michael Chapman	2006
Hearts of Darkness: American Protestants and the Doctrine of Original Sin, 1945-65	1945	1965	Andrew Finstuen	2006
In Defense of True Americanism: The Civil Liberties Union of Massachusetts and Radical Free Speech, 1915-45	1915	1945	Shawn Lynch	2006
Religion and Memory in American Public Culture, 1890-1920	1890	1920	Sarah Nytroe	2009
Addressing America: Washington's Farewell and the Making of National Culture, Politics, and Diplomacy, 1796-1852	1796	1852	Jeffrey Malanson	2010
'Let the Little Children Come to Me': Catholic Children's Moral and Religious Development in the United States, 1920-65	1920	1965	Carrie Schultz	2010
'For Faith and for Freedom': American Catholic Manhood and the Holy Name Society in Boston, 1870-1960	1870	1960	David McCowin	2011
The Indian Policy of the United States from 1789 to 1841	1789	1841	Mabel Bowker	1926
The Newspaper and the Development of American Culture, 1704–54	1704	1754	Robert Riefe	1952
The Boston Manufacturing Company of Waltham, Massachusetts, 1813–48: The First Modern Factory in America	1813	1848	Kenneth Mailloux	1957
America, Russia, Hemp and Napoleon: A Study of Trade between the United States and Russia, 1783-1814	1783	1814	Alfred Crosby	1961
America's Legitimate Trade with West Africa, 1789-1914	1789	1914	George Brooks	1962
Conflict and Accommodation in Belgian-American Diplomatic and Commercial Relations, 1830-1846	1830	1846	Pierre Laurent	1964
Americans in South Africa 1784-1870	1784	1870	Alan Booth	1964
Some Polish Boundary Problems and the United States Reaction, 1919-1945	1919	1945	Paul Daum	1966
Lincoln and the Economics of the American Dream: The Whig Years, 1832-1854	1832	1854	Gabor Borit	1968
Russian-American Relations, 1820-1830: The Diplomacy of Henry Middleton, American Minister at St. Petersburg	1820	1830	Harold Bergquist	1970
Patriotism, Protection, and Prosperity: James Moore Swank, the American Iron and Steel Association, and the Tariff, 1873-1913	1873	1913	Paul Tedesco	1970
The First Peace Corps: The Work of the American Teachers in the Philippines, 1900-1910	1900	1910	Jo Anne Maniago	1971
The Union Movement in American Hospitals, 1847-1976	1847	1976	David Denton	1976
America and a Two-Ocean Navy, 1933-1941	1933	1941	Charles Reynolds	1978
Arms and Innovation: The United States Army and the Repeating Rifle, 1865-1900	1865	1900	Richard Wolf	1981
'A Great Theater': Saleswomen, Customers, and Managers in American Department Stores, 1890-1940	1890	1940	Susan Benson	1983
The Widow's Peak: Popular Images of Widowhood in America, 1920-1960	1920	1960	Marylee O'Neill	1984
Building Early Urban America: Architectural and Social Development in Boston's North End, 1826-1850	1826	1850	Nina Meyer	1986
The Littlest Proletariat: American Communists and Their Children, 1922-1950	1922	1950	Paul Mishler	1988
'We Will Not Be Slaves to Avarice': The American Labor Jeremiad, 1827-77	1827	1877	Gregory Kaster	1990
African Americans' Sentiments and Contributions toward Africa, 1900-1985: From 'Idealistic Rhetoric' to 'Realistic Pragmatism'?	1900	1985	Edward Erhagbe	1992
The Business of Progress: The Transformation of American Advertising, 1870-1920	1870	1920	Pamela Laird	1992
Containment, Coexistence, and Neutrality: America, Russia, and the 'Finnish Solution,' 1948-1956	1948	1956	Jussi Hanhimaki	1993
Cold War Crucible: United States Foreign Policy and the Conflict in Romania, 1943-52	1943	1952	Elizabeth Hazard	1995
Sino-American Relations, 1945-50, with Emphasis on the Outcome of China's Entry into the Korean War	1945	1950	Zhigang Liu	1995
The Religion of Democracy: William James and Practical Idealism in Evolutionary America, 1870-1910	1870	1910	Amy Kittelstrom	2004
The Long Road to Annapolis: The Naval Academy Debate and Emerging Nationalism in the United States, 1775-1845	1775	1845	William Leeman	2006
The Burdens of Whiteness: Asian Immigration Restriction and White Supremacy in the British Empire and the United States, 1897-1924	1897	1924	David Atkinson	2010
The Entertainment Estate: Hollywood in American Politics, 1932-72	1932	1972	Kathryn Brownell	2011
The Forgotten Debate: American Intellectuals and the Korean War, 1950-53	1950	1953	Dane Cash	2012
From the Well of the House: The Rise of Conservative Republicans in the United States House of Representatives, 1978-94	1978	1994	Zachary Smith	2012
Comrades in War, Critics in Peace: American Non-Governmental Organizations, the Reconstruction of France, and Franco-American Relations, 1914-29	1914	1929	Michael McGuire	2012
Faith Unbounded: Christian Exploration and the Making of Modern American Religion, 1880-1930	1880	1930	David Mislin	2012
The United States, Great Britain, and the Middle-Eastern Oil Industry, 1945-60	1945	1960	Ellen Wald	2012
United States Policy toward Vietnam, 1950-1954	1950	1954	Nguyen Canh	1982
Apotheosis: Czechoslovakia and the Coup in the American Peace, 1938-1948	1938	1948	John Garrett	1987
Darwin and Medical Perceptions of the Black: A Comparative Study of the United States and Brazil, 1871-1918	1871	1918	Dalila Kiple	1987
Cultural Mediation on the Great Lakes Frontier: Alexander McKee and Anglo-American Indian Affairs, 1754-1799	1754	1799	Larry Nelson	1994
Sailing the Freshwater Seas: Life Aboard the Commercial Sailing Vessels of the United States and Canada on the Great Lakes, 1815-90	1815	1890	Jay Martin	1995
'Death of God' Theology: A 1960s Expression of American Radical Theology	1960	1960	Deborah Scerbicke	1995
T. Wingate Todd and the Development of Modern American Physical Anthropology, 1900-40	1900	1940	Kevin Kern	1997
A New Integrating Point for the World-System Consideration and the National Security Concern: The United States and the Asian Nonaligned Countries in the Late 1950s	1950	1950	Ke Xia	1997
Prophecy and Politics: A History of Christian Zionism in the Anglo-American Experience, 1800-1948	1800	1948	James Saddington	1997
Food Issues: Domestic Interest Groups and Sino-American Relations during China's Great Leap Forward, 1958-62	1958	1962	Matthew Young	2000
Selling Democracy: American Cultural Policy toward Japan, 1945-60	1945	1960	Chizuru Saeki	2003
City of Mass Production: Building, Managing, and Living in Detroit, American's First Automobile Metropolis, 1915-45	1915	1945	Matthew Daley	2004
United States-Yugoslav Relations, 1961-80: The Twilight of Tito's Era and the Role of Ambassadorial Diplomacy in the Making of America's Yugoslav Policy	1961	1980	Josip Mocnik	2008
Freeborn Men of Color: The Franck Brothers in Revolutionary North America, 1755-1820	1755	1820	Shirley Green	2011
'A Land Without a People for a People Without a Land': The Civilizing Mission and American Support for Zionism, 1880-1929	1880	1929	Robert MacDonald	2012
American Immigration Restriction as a Problem in American Foreign Relations, 1882-1906	1882	1906	Barbara Oberlander	1974
Beyond Savagery: The Campaign to Assimilate the American Indians, 1880-1920	1880	1920	Frederick Hoxie	1977
The Conduct and Consequences of Psychological Warfare: American Psychological Warfare Operations in the War Against Japan, 1941-45	1941	1945	Eleanor Sparagana	1990
Salus Populi: The Roots of Regulation in America, 1787-1873	1787	1873	William Novak	1991
Rejoice with Trembling: America's Founders Reassess Revolution, 1789-1826	1789	1826	Mary Klee	1991
Leading Women: Female Leadership in American Women's Higher Education, 1880-1940	1880	1940	Cynthia Brown	1992
Psychology as Politics: How Psychological Experts Transformed Public Life in the United States, 1940-70	1940	1970	Ellen Herman	1993
Muscular Christianity: The Strenuous Mood in American Protestantism, 1880-1920	1880	1920	Clifford Putney	1995
The Silenced Epidemic: A Social History of Lead Poisoning in the United States since 1900	1900	1900	Christian Warren	1997
The 'Film Wars' between France and the United States: Film-Trade Diplomacy, and the Emergence of the Film Quota System in France, 1920-39	1920	1939	Jens Ulff-Moller	1998
Suburbs of Tomorrow: 1960s New Towns and the Reinvention of the American Dream	1960	1960	Nicholas Bloom	1999
The Melting Pot Goes to War: Italian and Jewish Immigrants in America's Great Crusade, 1917-19	1917	1919	Christopher Sterba	2000
Public Works: New York Road Building and the American State, 1880-1956	1880	1956	Michael Fein	2003
The Political Origins of American Labor Law, 1780-1850	1780	1850	Jeffrey Kahana	2003
Opportunity and Opposition: The African American Struggle for Education in New Haven, Baltimore, and Boston, 1825-55	1825	1855	Hilary Moss	2004
Conceiving Childhood: Juveniles, Magazines, and the Acculturation of American Children, 1823-1918	1823	1918	Paul Ringel	2005
Borrowing Culture: Social Libraries and American Civic Life, 1731-1854	1731	1854	Lynda Yankaskas	2009
Histories of Unequal Measure: Euro-American Encounters with Hawaiian Governance and Law, 1793-1827	1793	1827	Noelani Arista	2009
Blood Will Tell: Blood and Vampires as Metaphors in the Political and Popular Cultures of Great Britain, France, Germany, and the United States, 1870-1914	1870	1914	Sara Robinson	2009
Law, Order, and the Jewish Displaced Persons in the American Zone of Occupied Germany 1945-51	1945	1951	Michelle Sutherland	2013
American Policy and Korean Independence: An Appraisal of American Military Occupation Policy in South Korea, 1945-49	1945	1949	Jinwung Kim	1983
A History of Liahona, The Elder's Journal: A Magazine Published for the Mormon Missions of America, 1903-1945	1903	1945	Arnold Garr	1986
The Formative Years of the Women's Peace Movement in the United States, 1900-20	1900	1920	Laga Van Beek	1999
Canada, Roosevelt and the New Deal: Canadian Attitudes to Reform in Relation to the American Reform Experiments of the 1930s	1930	1930	William McAndrew	1973
The Reconstruction of Self and Society in Early Postwar Japan, 1945-49	1945	1949	Owen  Griffiths	2000
The British Understanding the American Constitutional Position, 1763–1776	1763	1776	Henry Halko	1957
The Theory of the Social Contract in the American Revolution, 1776–87.	1776	1787	Thaddeus Tate	1960
A Time to Rend: The Members of the Continental Congress and the Decision for American Independence, 1774-1776	1774	1776	John Head	1966
Nelson W. Aldrich: The Making of the 'General Manager of the United States,' 1841-1886	1841	1886	Jerome Sternstein	1968
Technical Education and the Young Republic: West Point as America's Ecole Polytechnique, 1802-1833	1802	1833	Peter Molloy	1975
American Policy toward China and Korea, 1947-1950	1947	1950	William Stueck	1977
The Volunteer Army and American Society, 1919 to 1940	1919	1940	Robert Griffith	1979
Church and Confession: Conservative Theologians in Germany, England, and America, 1815-1866	1815	1866	Walter Conser	1981
From Recycled Wastes to Commercial Fertilizers: The Evolution of a Technological System in the Eastern United States 1800-1880	1800	1880	Richard Wines	1981
Interpreting the Dangerous Trades: Workers' Health in America and the Career of Alice Hamilton, 1910-1935	1910	1935	Angela Young	1982
The Ancient and Honorable Society Freemasonry in America, 1730-1830	1730	1830	Steven Bullock	1986
The Evolution of United States National Security Policy in Global Crisis, 1935-40	1935	1940	John LaSaine	1990
