title	start	end	name	year
A Community in Transition: Boston Catholics, 1815-45	1815	1845	Ronald Patkus	1998
The Knock Apparitions and Pilgrimage: Popular Piety and the Irish Land War	0	0	John White	1999
In the Service of the State: The Bavarian Volksschul and Nation Building, 1800-70	1800	1870	James Bidwell	2002
A Different Journey: John Brown Russwurm, 1799-1851	1799	1851	Sandra Sandiford Young	2004
Reconstructing a Deconstructed Manuscript, Community, and Culture: London, BL MS Cotton Tiberius A.iii	0	0	Tracey-Anne Cooper	2005
America, Russia, Hemp and Napoleon: A Study of Trade between the United States and Russia, 1783-1814	1783	1814	Alfred Crosby	1961
The Economic Views of Illinois Democrats, 1836-186 1	0	0	D. Peter Brown	1970
Public Opinion: The Assassination ofAbraham Lincoln, the Trial of the Conspirators and the Trial of John H. Surratt	0	0	Thomas Turner	1971
The Role of the Learned Societies in the Growth of Scientific Boston 1780-1848	1780	1848	Bruce Stone	1974
The Trade between Egypt and Bilad as-Sudan, 1700-1820	1700	1820	Terence Walz	1975
Patterns of Diversity among the Massachusetts Mugwumps of 1884	1884	1884	Alan Proctor	1977
In the Web of Class: Youth, Class and Culture in Boston, 1840-1940	1840	1940	Eric Schneider	1980
The Littlest Proletariat: American Communists and Their Children, 1922-1950	1922	1950	Paul Mishler	1988
'We Will Not Be Slaves to Avarice': The American Labor Jeremiad, 1827-77	1827	1877	Gregory Kaster	1990
Medicine and Politics in the Life of Henry I. Bowditch, M.D. (1808-92)	1808	1892	Jennifer Alpert	2004
Apotheosis: Czechoslovakia and the Coup in the American Peace, 1938-1948	1938	1948	John Garrett	1987
Cooperation through Diversity: The Nordic Nexus, the Nordic Balance, and a Lesson in Peaceful Security	0	0	Bruce Solheim	1993
Freedwomen and the Freedmen's Bureau: Race, Gender, and Public Policy in the Age of Emancipation	0	0	Mary Farmer	2000
Revelations from the Dead: Using Funeral Home Records to Help Reconstruct the History of Black Toledo	0	0	Camillia Rodgers	2011
The Origins of Government Social Protection Policy in Hong Kong, 1842-1941	1842	1941	Hong Zhou	1992
Plymouth Plantation: Search for Community on the New England Frontier	0	0	John Navin	1997
Working under the Hammer and Sickle: Revolution and Counterrevolution in a Moscow Metal Factory, 1912-32	1912	1932	Kevin Murphy	1999
From Border to Frontier: Conquest and Conversion in Eastern Saxony, 929-1108	929	1108	Natalie Danner	2000
Borderline Citizens: Puerto Ricans and the Politics of Migration, Race, and Empire, 1898-1948	1898	1948	Robert McGreevey	2008
Remembering Montgomery: The Civil Rights Movement and Its Legacies	0	0	Robert Heinrich	2009
Nine Years of Achievement: The Civilian Conservation Corps in Utah	0	0	Kenneth Baldridge	1971
A Biographical History of Mahonri M. Young: A Western American Artist	0	0	Wayne Hinton	1974
Ricks College: A Struggle for Survival	0	0	Jerry Roundy	1975
Victorian Missionaries in Meiji Japan: The Shiba Sect, 1873-1900	1873	1900	Cyril Powles	1968
Caminando y Miando: A Reflection on Academic Practice	0	0	Geoffrey Horner	2013
William L. Marcy and the Albany Regency.	0	0	Ivor Spencer	1941
The Theory of the Social Contract in the American Revolution, 1776–87.	1776	1787	Thaddeus Tate	1960
Isaiah to the Nation: The Life of William Lloyd Garrison	0	0	John Thomas	1961
Worker Protection in Imperial Germany: The Example of Frankfurt Am Main 1869-1914	1869	1914	Eric Hinderliter	1977
Conflict and Controversy: English Bishops and the Reformation 1547-1558	1547	1558	Stephen Lyons	1980
A Row of Nationalities: Life in a Working Class Community: The Irish, English, and French Canadians of Fall River, Massachusetts, 1850-1890	1850	1890	Anthony Coelho	1980
A City of Joiners: Voluntary Associations and the Formation of the Middle Class in Providence, 1830-1920	1830	1920	J. Shanklin Gilkeson	1981
Religious Politics in Pre-Revolutionary Germany: Conflicts Over Ethnicity, Sexuality and Gender in Baden, 1809-1849	1809	1849	Dagmar Herzog	1991
Labor Aloft: A Cultural History of Airline Flight Attendants in the United States, 1930-78	1930	1978	Suzanne Kolm	1995
A True Republican: The Life of Paul Revere	0	0	Jayne Triber	1995
The 'Decline of Life': Aspects of Aging in 18th-Century England	0	0	Susannah Ottaway	1997
'The Gentlest, the most Polished, most Beautiful part of the creation': Men, Women, and Genteel Culture in the Early American Northeast, 1720-1800	1720	1800	Donna Curtin	1999
The Women's Committees of the First World War: Women in Government, 1917-19	1917	1919	Penelope Brownell	2002
Settling Down: Labor, Violence, and Land Exchange in the Anglo-Indian Settlement Society of 17th-Century New England, 1630-92	1630	1692	Joshua Marshall	2003
William C. Oates: A Biography	0	0	Glenn LaFantasie	2005
Creating the Nisei Market: Japanese American Consumer Culture in Honolulu, 1920-41	1920	1941	Shiho Imai	2005
In an Enemy's Country: British Culture, Identity, and Allegiance in Ireland and the Caribbean, 1688-1763	1688	1763	Sarah Yeh	2006
Sharing the Mandate: The Former Shu Regime of Wang Jian in the Late Tang and Early Five Dynasties, 891-925	891	925	Hongjie  Wang	2008
The Politics of Piracy: A Challenge to English Law and Policy in the Atlantic Colonies, 1660-1730	1660	1730	Douglas Burgess	2008
Understanding U.S.-Korean Relations through Their Knowledge of Each Other	0	0	Jooyoung Lee	2010
Turning the Tide: The Politics of Land and Leisure on the California and Mexican Coastlines in the Age of Environmentalism	0	0	Sara Fingal	2012
Modern Nationalism and the Making of a Professional Historian: The Life and Work of Leopold von Ranke	0	0	Shih-Chieh Su	2012
A Proper Submission: British Military Justice and Society, 1718-84	1718	1784	William Tatum	2013
English Merchant Shipping, 1460–1520	1460	1520	Hazel Burwash	1941
Perugia: A Study of Medieval Urban Growth	0	0	Sarah Blanshei	1970
Henry de Jouvenel and the Syrian Mandate	0	0	Joyce Miller	1970
Circa Instans and the Salernitan Materia Medica	0	0	Eugenia Robertson	1982
Making Doctor Strangelove: Strategy in the Air-Atomic Age	0	0	Edward Kaplan	2008
The Viceroy of New Spain	0	0	Donald Smith	1909
A History of the Western Boundary of the Louisiana Purchase, 1819–41	1819	1841	Thomas Marshall	1914
Don Pedro de Alvarado and the Conquest of Guatemala	0	0	Gustave Werner	1923
Francisco de lbarra and the Founding of Nueva, Vizcaya, 1554–75	1554	1575	John Mecham	1923
The Early Development of the Wyoming Country, 1743–1851	1743	1851	Noel Breed	1927
The Negotiations and the Conclusion of the Three Emperors' Alliance (1878–81)	1878	1881	John Hunziker	1933
The Adams-Onis Treaty of 1819 as a Territorial Agreement	1819	1819	Philip Brooks	1933
The Russian Fur Trade: Its Origins and Development to the End of the 17th Century, with Special Reference to Siberia	0	0	Raymond Fisher	1937
The English Colonial Land Grants in South America, 1613–1663	1613	1663	Nathan Nelson	1939
Silk-Raising in Colonial Mexico	0	0	Woodrow Borah	1940
Rosas of Argentina, Patriot and Dictator: An Interpretation in the Light of New Evidence	0	0	Gilbert Becker	1941
The Military Policy of the United States, 1918–33: A Study of the Influence of World War I on Army Organization and Control	1918	1933	Ben Franklin	1943
The Anti-War Policy of the French Socialist Party (SFIO), 1905–14: A Study of Patriotism Expressed through the Ideas of the General Strike and Insurrection	1905	1914	Richard Hostetter	1947
The Establishment and Northward Expansion of Cattle Ranching in New Spain	0	0	Richard Morrisey	1949
The Removal of Acadians from France to Louisiana, 1763–85	1763	1785	Oscar Winzerling	1949
The Idaho Anti-Mormon Movement, 1872–1908	1872	1908	Merle Wells	1950
The Campaigns for Madrid: October, 1936–April, 1937	1936	1937	Robert Colodny	1950
The Franciscan City of God in the New World: A Study of the Writings of Ger6nimo de Mendieta (1525–1604)	1525	1604	John Phelan	1951
The Colombian Tobacco Industry from Government Monopoly to Free Trade, 1778–1876	1778	1876	John Harrison	1951
Russian Far Eastern Policy, 1881–1904, with Special Emphasis on the Causes of the Russo-Japanese War	1881	1904	Andrew Malozemoff	1952
RFD: A History of the Farmers Mail	0	0	Wayne Fuller	1954
Origins of the Pan-Hispanic Movement to 1866	0	1866	Mark Van Aken	1955
Governor in the Middle: The Administration of George C. Pardee, Governor of California, 1903–07	1903	1907	Edward Staniford	1955
Russian Labor and the Bolshevik Party, 1917–20	1917	1920	Frederick Kaplan	1956
History of Exploration of the Great Basin	0	0	Gloria Cline	1958
North of Slavery: The Negro in the Free States, 1790–1860	1790	1860	Leon Litwack	1958
The Tertium Quid Movement: A Study in Political Insurgency	0	0	Donald Macphee	1959
Equality as Interpreted by the French Revolutionaries	0	0	Robert Harris	1959
German Policy towards Austria, 1885-1890	1885	1890	Ruth Zerner	1962
American Diplomacy and the Spanish Civil War, 1936-1939	1936	1939	Richard Traina	1964
The Origin and Development of Elihu Root's Latin American Diplomacy	0	0	Lejeune Cummins	1964
The Origins and Foundation of the Psychoanalytic Movement in America, 1909-1914	1909	1914	Nathan Hale	1965
The Arya Samaj in the Punjab: A Study of Social Reform and Religious Revivalism, 1877-1902	1877	1902	Kenneth Jones	1966
European Influences on the Awakening of the American Social Conscience, 1886-1904	1886	1904	Peter Frederick	1966
The Tsarist Govern ment and the Labor Movement, 1898-1903: Th( Zubatovshchina	1898	1903	Jeremiah Schneiderman	1966
Patterns of Slave Behavior in Eighteenth Century Virginia	0	0	Gerald Mullin	1968
Mughal Rule in Golconda: 1687-1724	1687	1724	John Richards	1970
The Medieval Chinese Oligarchy: A Study of the Great Families in Their Social, Political, and Institutional Setting	0	0	David Johnson	1970
Frederic Dan Huntington, First Bishop of Central New York, His Role in Religion and Reform in the Nineteenth Century	0	0	Rozanne Noon	1971
The Modern Sphinx: American Intellectuals and the Machine, 1910-1940	1910	1940	Edward Paynter	1971
The Italian Syndicalists from Marxism to Fascism	0	0	David Roberts	1971
The Booker T. Washington-W. E. B. DuBois Controversy: The Conflict of Negro Racial Ideals during the Progressive Era	0	0	William Toll	1972
Political Leadership and Students in China (1966-1968) and France (1968)	1966	1968	Yoshihiro Kuriyama	1973
Britain and the Chinese Revolution, 1925-1927	1925	1927	Peter Clark	1973
Tommaso Campanella: Political Universalism in the Later Renaissance	0	0	Richard Wittenberg	1974
A History of the Luba Empire to c. 1885	1885	1885	Thomas Reek	1975
Common Informers and Law Enforcement in England, 1603-1640	1603	1640	Joseph Limprecht	1975
Uncommon Common Sense: An Intellectual History and Literary Study of Sentimentalism, Oliver Goldsmith and She Stoops to Conquer within the Original British Liberalism of the Third Quarter of the Eighteenth Century	0	0	Ralph Schmidt	1975
Arnold Ruge: A Study in Democratic Caesarism	0	0	James Moore	1977
Kierkegaard's Politics: The Social Thought of Soren Kierkegaard in Its Historical Context	0	0	Bruce Kirmmse	1977
The South Carolina Governing Elite, 1820-1860	1820	1860	George Germany	1978
The Mexican Revolution and the United States, 1915-1917: The Impact of Conflict in the Tamaulipas-Texas Frontier upon the Emergence or Revolutionary Government in Mexico	1915	1917	James Sandos	1978
The Limits of Liberalism: A Study of the Careers and Ideological Development of Josephus Daniels, Henry Samson, Bernard Baruch, Donald Richberg, and Felix Frankfurter	0	0	Larry Gerber	1979
The German College of Politics and the Search for Wholeness	0	0	Siu-tong Kwok	1982
Industrial Unemployment in Germany, 1873-1813	0	0	Linda Heilman	1982
Capitalism in the Risorgimento: Joint Stock Banking and Economic Development in the Kingdom of Sardinia, 1843-1859	1843	1859	Paul Howell	1983
Tonkin to Tet: The U.S. National Security System and Vietnam	0	0	Patrick Hatcher	1986
Education, Individualism, and Society in Nineteenth-Century America	0	0	Helen Schwartz	1986
Cultivating a Landscape of Peace: The Iroquois New World	0	0	Matthew Dennis	1987
Expansion and Family Formation in Medieval Barcelona, 1100-1291	1100	1291	Stephen Bensch	1987
Magnetic Mountain: City Building and City Life in the Soviet Union in the 1930's, A Study of Magnitogorsk	1930	1930	Stephen Kotkin	1989
The Idea of Time in American Culture 1829-1920	1829	1920	Michael O'malley	1989
America's Secret War against Bolshevisk: United States Intervention in the Russian Civil War, 1917-1920	1917	1920	David Foglesong	1991
Inconspicuous Consumption: Masculinity, Political Economy, and Fashion in England, 1550-1776	1550	1776	David Kuchta	1991
Women's Identities at War: The Cultural Politics of Gender in Britain and France, 1914-19	1914	1919	Susan Grayzel	1994
Representation and Revolution: The Theatricality of Politics and the Politics of Theater in France, 1789-94	1789	1794	Paul Friedland	1995
The Secret Lives of Consumer Culture: Masculinity and Consumption in Postwar America	0	0	Jesse Berrett	1996
From Teahouse to Radio: Storytelling and the Commercialization to Culture in 1930s Shanghai	1930	1930	Carlton Benson	1996
Obfuscating a New Other, Defining a New Self: Popular Discourses on the Colonization of the Philippines	0	0	Christopher Vaughan	1997
Pieties and Responsibilities: Buddhism and the Chinese Literati, 780-1280	780	1280	Mark Halperin	1997
'Inventing the Sacred': Religious Enthusiasm and Imposture in Mid-17th-Century Spain	0	0	Andrew Keitt	1998
Depression, Prosperity, and Economic Policy in Modern Japan: Crisis and Stabilization in a Long-Run Perspective	0	0	Mark Metzler	1998
Sacred Translations: Philology, Humanism, and Germany's Religious Enlightenment	0	0	Jonathan Sheehan	1999
Jews and Blacks in the Early Modern Mediterranean and Atlantic Worlds, 1450-1800	1450	1800	Jonathan Schorsch	2000
Time's Visible Surface: Alois Riegl's Art History and the Discourse on Temporality in Fin-de-Siècle Austria	0	0	Michael Gubser	2001
'We Real Cool': Beauty, Image, and Style in African American History	0	0	Robyn Anuakan	2001
'God's Land Is My Land': The Territorial-Political Context of Hildegard of Bingen's Rupertsberg Calling	0	0	Miriam Marsolais	2002
Wives, Slaves, and Concubines: A History of the Female Underclass in Dutch Asia	0	0	Eric Jones	2003
Corporate Salvation in a Colonial Society: Confraternities and Social Mobility for Africans and their Descendants in New Spain	0	0	Joan Von Germeten	2003
The Public-Private City: Automobile Parking and the Control of Urban Space in San Francisco, 1920-59	1920	1959	Eric Klocko	2007
Revolution with a Human Face: Politics, Culture, and Community in Czechoslovakia, 1989-92	1989	1992	James Krapfl	2007
A Ganar la Calle: The Politics of Public Space and Public Art in Santiago, Chile, 1970-73	1970	1973	Camilo Trumper	2008
Building an Antislavery House:  Political Abolitionists and the U.S. Congress	0	0	Corey Brooks	2010
Tokugawa Yoshimune versus Tokugawa Muneharu: Rival Visions of Benevolent Rule	0	0	Tim Cooper	2010
The Diplomacy of Hiroshi Oshima and German-Japanese Relations, 1934-1939	1934	1939	Carl Boyd	1971
Chinese Politics in the Western Hemisphere, 1893-1911: Rivalry between Reformers and Revolutionaries in the Americas	1893	1911	L. Eve Armentrout-Ma	1977
Rivers and Tides: The Story of Water Policy and Management in California's Sacramento-San Joaquin Delta, 1920-1977	1920	1977	Alan Paterson	1978
Landscaping the Pacific Northwest: A Cultural and Ecological Mapping of the Douglas Fir Region, 1778-1900	1778	1900	Robert Bunting	1994
Meanings of Marriage in China, 1650-1850	1650	1850	Weijing Lu	2001
Paint the Trains Red: Labor, Nationalism, and the Railroads in French Colonial Indochina, 1898-1945	1898	1945	David Del Testa	2001
Anarchism and the Political Culture of Imperial Germany, 1870-1914	1870	1914	Elun Gabriel	2003
'The Price of the Liberation': The New Left's Dissolution, 1965-70	1965	1970	L. David Barber	2004
Living with Glaciers: Climate History and Social Change in Peru's Cordillera Blanca, 1941-2004	1941	2004	Mark Carey	2005
'Dangerous Guests': Enemy Prisoners and American National Identity in Revolutionary Lancaster, Pennsylvania, 1760-84	1760	1784	Kenneth Miller	2006
The Folks Back Home: The Confederate Homefront during the Civil War	0	0	Donna Krug	1991
Georg Simmel and the Soul of German Culture, Geist-Politik: Fin-de-Siecle to the Great War	0	0	Ralph Leck	1996
The Politics of Pantomime: Working-Class Theater in Paris, 1800-62	1800	1862	Carolyn Johnston	1998
Channels of InfluenceL Patronage, Power, and Politics in Poitou from Louis XIV to the Revolution	0	0	Katherine Turley	1998
Gendered and Racialized Constructions of Alcoholism in the Postwar Era	0	0	Stephanie Reyes-Tuccio	2001
William James and Historical Mysticism	0	0	Richard Laws	2005
Culturally Different: Portuguese and Maghrebians in Postcolonial France	0	0	Brigitte Jelen	2007
'Blazing the Way for Other Who Aspire': Western Mountaineering Clubs and Whiteness, 1890-1955	1890	1955	Marc LaRocque	2010
Materials of Empire: The Influence of French Colonialism and Colonial Woods on French Art Deco, 1918-37	1918	1937	Laura Sextro	2012
Between Imperial Projects and National Dreams: Communication Networks, Geopolitical Imagination, and the Role of New Granada in the Configuration of a Greater Caribbean Space, 1780s-1810s	1780	1780	Ernesto Bassi Arevalo	2012
A Conservative Reform: Saving the Redwoods, 1917-40	1917	1940	Susan Schrepfer	1971
Legislating 'Normalcy': The Immigration Act of 1924	1924	1924	Peter Wang	1971
To Turn Them from Darkness: The Missionary Society of Connecticut on the Early Frontier, 1798-1814	1798	1814	Ronald Noricks	1975
Within the Bounds of Propriety: Clara Burdette and the Women's Movement	0	0	Dorothy Miller	1984
Living in the Land of Death: The Choctaw People, 1830-1860	1830	1860	Donna Akers	1997
'The River Floweth On': The African Social and Cultural Origins of Black Resistance in North America, 1712-1831	1712	1831	Walter Rucker	1999
'Told It to Please Themselves': Nez Perce History through the Eyes of the Other, 1805-1940	1805	1940	Robert McCoy	2002
Guglielmina Schianteschi (1463-1536): A Tuscan Countess and Florentine Citizen	1463	1536	Catherine De Luca	2004
The Transatlantic Paddy: The Making of a Transnational Irish Identity in 19th-Century America	0	0	Kathleen McGuire	2009
The Falange in Pre-Civil War Spain: Leadership, Ideology, and Origins	0	0	Patricia Fouquet	1972
Peasant Resistance in Puno, A Region of Peru, 1900-1930	1900	1930	Marcela Calisto	1993
From High Philosophy to Bourgeois Modernist Culture: Tracing a Metaphysic of Music	0	0	Jeffrey Hay	1994
State Policy and Community Conflict in Rural Bolivia and Peru, 1900-87	1900	1987	Eric Mayer	1996
Paradise for Sale: Tourism and Spatial Transformation of Hangzhou, 1600-1937	1600	1937	Liping Wang	1997
Alternating Currents in Mexican Labor: Electrical Products, Workers from Insurgency to Crisis, 1970-87	1970	1987	Kenneth Maffitt	2000
Contesting the Sacred and the Civil: Local Religious Identity and the Politics of Constructing Nationalism in Michoacan, Mexico, 1874-1910	1874	1910	Luis Murillo	2002
The Nostalgia of Change: A History of Mexican Return Migration to Acambaro, Guanajuato, 1930-2006	1930	2006	Jesus Perez Varela	2010
The San Francisco Black Community, 1849-1890: The Quest for 'Equality before the Law'	1849	1890	Philip Montesano	1974
Keepers of the Game: The Ecological Issue of Indian-White Relations	0	0	Calvin Martin	1974
The Habsburg Monarchy in the Writings of Joseph Roth	0	0	James Street	1975
12th SS Panzer Divison 'Hitler Youth': Its Origins, Training, and Destruction, 1943-1944	1943	1944	Craig Luther	1987
Storm over Niagara: A Study of the Interplay of Cultural Values, Resource Politics, and Environmental Policy in an International Setting	0	0	Gail Evans	1992
Organizing the American Right, 1945-1964	1945	1964	Niels Bjere-Poulsen	1994
The Medieval English Urban Environment: Learned Views and Popular Practices	0	0	Miriam Davis	1995
'A Presse Full of Pamphlets': The Printing of News in London, 1640-42	1640	1642	Stephanie Gustafson	2000
Total Cold War: U.S. Propaganda and the 'Free World,' 1953-60	1953	1960	Kenneth Osgood	2001
The Scepter Rests Well in the Hands of a Woman: Faith, Politics, and the Thirty Years' War	0	0	Tryntje Helfferich	2003
Gustavus Adolphus of Sweden and the English Press: News, Foreign Policy, and Popular Opinion in Early Stuart England	0	0	Timothy Hagen	2003
'Brains at a Bargain': Refugee Chinese Intellectuals, American Science, and the 'Cold War of the Classrooms'	0	0	Ben Zulueta	2004
The Development of Nationalist Identities in French Syria and Lebanon: A Transnational Dialogue with Arab Immigrants to Argentina and Brazil, 1915-29	1915	1929	Maria Logrono	2007
Financing an Empire in the South Atlantic: The Fiscal Administration of Colonial Brazil, 1609-1703	1609	1703	Anil Mukerjee	2009
An Empire on Display: Reconfiguring the Japanese Colonial Subject in the 20th Century	0	0	Kirsten Ziomek	2011
German Blood, Polish Mind? Exploring the Immigration Histories of Resettlers from Poland to West Germany, 1970s-90	1970	1970	Mira Foster	2012
The Decline of Soochow and Rise of Shanghai: A Study in the Economic Morphology of Urban Change (1756-1894)	1756	1894	Linda Johnson	1986
An Ethnohistory of the Coras of the Sierra del Nayar, 1600-1830	1600	1830	Richard Warner	1998
The Life and Works of Gaston Roupnel	0	0	Philip Whalen	2000
Profiles of Mass Murder: The Einsatzgruppen Officers	0	0	Helmut Langerbein	2001
