title	start	end	name	year
'Our Tomb or Salvation?' The History of Ukrainian Immigration into Argentina in the Interwar Period, 1920-1939	1920	1939	Serge Cipko	1995
The Emergence of Regional Identity: The Peace River Country, 1910-1946	1910	1946	Robert Irwin	1995
His Majesty's Subjects: Political Legitimacy in Quebec, 1764-1791	1764	1791	Carolee Pollock	1996
Imperial Crossroad: The Influence of the Far East on Anglo-American Relations, 1933-1939	1933	1939	Gregory Kennedy	1998
The Fate of Mennonites in Ukraine and the Crimea, 1930-33	1930	1933	Colin  Neufeldt	1999
'What's Past Is Prologue': Canadian Intellectuals, the Tory Tradition, and the Challenge of Modernity, 1939-70	1939	1970	Philip Massolin	1999
Unnatural Union: Soviet Environmental Policies, 1950-91	1950	1991	David Duke	1999
History, Culture, and Nationhood under High Stalinism: Soviet Ukraine, 1939-54	1939	1954	Serguei  Ekplchik	2000
The Concept of Russian Identity, 1890-1922	1890	1922	Elena  Krevsky	2002
Giants and Pygmies in the Morning of Time: Developmentalism and Degeneration in English-Canadian Anthropology, ca. 1850-1940	1850	1940	Brian Gobbett	2003
Gender, Power, and Nationalism: Women in Soviet Ukraine, 1939-50	1939	1950	Yoshie  Mitsuyoshi	2004
Framing the Ukrainian Peasantry in Habsburg Galicia, 1846-1914, with Focus on the Sambir Area	1846	1914	Andriy  Zayarnyuk	2004
Islam and Arabism in Zanzibar: The Omani Elite, the Arab World, and the Making of an Identity, 1880s-1930s	1880	1880	Amal Ghazal	2005
The Growth of Environmental Concern and Regulation, 1750-1850	1750	1850	Rebecca Adell	2006
Dying in the West: Healthcare Policies and Caregiving Practices in Montana and Alberta, 1880-1950	1880	1950	Dawn Nickel	2006
From Anglo-Conformity to Multiculturalism: The Role of Scottish, Ukrainian, and Japanese Ethnicity in the Transformation of Canadian Identity, 1919-71	1919	1971	Aya Fujiwara	2007
The Irish in Western Canada, 1870-1939	1870	1939	Allan Rowe	2008
The Battle over Belarus: The Rise and Fall of the Belarusian National Movement, 1906-31	1906	1931	Per Rudling	2009
The Biggest Calamity that Overshadowed All Other Calamities: Recruitment of the Ukrainian 'Western Workers' for the War Economy of the Third Reich, 1941-44	1941	1944	Taras Kurylo	2009
Remaking Indigenaity: Indigenous Missionaries in the British Empire, 1820-75	1820	1875	J. Tolly Bradford	2009
Rescuers of Jews in the Slovak State, 1939-45	1939	1945	Nina Paulovicova	2011
Creation of the United Nations Organization as a Factor in Soviet Foreign Policy, 1943-46	1943	1946	Joseph Dolff	2011
Space Propaganda 'For All Mankind': Soviet and American Responses to the Cold War, 1957-77	1957	1977	Trevor Rockwell	2012
Manhood, Rivalry, and the Creation of a Canadian 'Hockey World': Media Coverage of Early Stanley Cup Hockey Challenges, 1894-1907	1894	1907	Stacy Lorenz	2013
Of Beasts and Men: Identities, Zoos, and the Idea of 'Civilization' in Germany, 1858-1914	1858	1914	Angeles Espinaco-Virseda	2013
Public Opinion in Great Britain on the American Civil War, 1861-65, as Shown in the London Times	1861	1865	Sarah Wallace	1925
British Travelers in the United States, 1835–70	1835	1870	Spencer Reed	1931
The Election of 1896	1896	1896	Ruth Wright	1934
A History of the American Automobile Industry, 1893-1931	1893	1931	Sanfjord Ten	1934
An Interpretation of the Decisions of the U. S. Neutrality Board, 1914–17	1914	1917	Walter Foote	1935
Certain Aspects of German Public Opinion relative to American Neu trality, 1914–17	1914	1917	Reuben Steinmeyer	1935
French Travelers in America, 1775-1840: A Study of Their Observations	1775	1840	Genevieve Hubbard	1936
Some Aspects of British Press Opinion toward the United States, 1914–17	1914	1917	Merlin Nipe	1937
Lokamanya Bala Gangadhara Tilak, 1856–1920-His Reorientation of the Gita Tradition: A Factor in the Rise of Indian Nationalism	1856	1920	Roland Loasby	1942
The Congress of German Economists, 1858-85: A Study in German Unification	1858	1885	Ernest Flotow	1942
The Ottoman Intellectuals an the Young Turk Reformation of 1908	1908	1908	Kerim Key	1950
Commercial Relations be tween the Kingdom of Sardinia and the United States of America, 1820–48	1820	1848	Albert Cendebien	1951
Land Reform and Resettlement in Germany: A Study of the Post-War Program for Rural Reconstruction, 1945–50	1945	1950	Harold Lewis	1952
John Watson Foster: United States Minister to Mexico, 1873–80	1873	1880	Chester Kaiser	1954
New Party Politics in the New Deal Era: A Historical Study of Four Attempts to Form a New National Political Party in the United States, 1929–38	1929	1938	Donald McCoy	1954
Germany, Italy and the South Tyrol, 1938–45	1938	1945	Conrad Latour	1955
Agricultural Development and Rural Life in Haiti, 1934–53	1934	1953	Marie Wood	1955
A History of International Master Chess, 1851–1914: A Study in Modern Institutional History	1851	1914	Bernard Kiernan	1957
The Satsuma Rebellion of 1877: An Inquiry into Some of its Military and Political Aspects.	1877	1877	James Buck	1959
A History of the Division of Higher Education, United States Office of Education, from Its Creation in 1911 until the Establishment of the Department of Health, Education, and Welfare in 1953	1953	1953	Richard Lykes	1960
Population Movements in the Polish Provinces of Prussia, Russia and Aus tria, 1870–1914: Policies and Attitudes	1870	1914	Benjamin Murdzek	1960
The Christian Missions and the British Expansion in Southern Rhodesia, 1888- 1923 	1888	1923	Per Hassing	1960
Hitler: A Study of Ideology and 'Realpolitik' in German-Soviet Relations, 1938-1941	1938	1941	Sylvan Berman	1962
Scottish Common Sens in America, 1768-1850: An Evaluation of It Influence	1768	1850	Richard Petersen	1963
The Jewish Question in American-Russian Relations, 1875-1917	1875	1917	Areh Yodfat	1963
The Prisoner of War in the United States during the War of 1812	1812	1812	Anthony Dietz	1964
The Chamizal Conflict, 1864-1964	1864	1964	Sheldon Liss	1965
The Campaign of the Socialist Party in the Election of 1920 	1920	1920	James Rhoads	1965
Return to Dollar Diplomacy? American Business Reaction to the Eisenhower Foreign Aid Program, 1953-61	1953	1961	Thomas DiBacco	1965
A History of American Diplomacy at the Paris Peace Conference of 1898	1898	1898	James Murphy	1965
United States Civil Administration of the Ryukyu Islands, 1950-1960	1950	1960	Robert Hewett	1966
John Stuart Mill in America: The Early Impact, 1843-1873	1843	1873	Evelyn Pugh	1966
The U.S. Machine Tools Industry from 1900 to 1950	1900	1950	Harless Wagoner	1967
The New Deal Treasury Department Art Programs and the American Artist, 1933-43	1933	1943	Belisario Contreras	1967
The Four-Power Treaty of 1921 and the American National Interest 	1921	1921	Sumitra Rattan	1967
The Triumph of Moderation in Florida Thought and Politics: A Study of the Race Issue from 1954-60	1954	1960	Robert Akerman	1967
Relations between Brazil and the United States, 1815-1825: With Special Reference to the Revolutions of 1817 and 1824	1817	1824	Mary Kahler	1968
Indian Affairs in Pennsylvania and New York, 1783-94	1783	1794	Stephen Coe	1968
War Department Topographical Bureau, 1831-1863: An Administrative History	1831	1863	Garry Ryan	1968
J. E. Spingarn and the Rise of the National Association for the Advancement of Colored People, 1911-1939	1911	1939	Barbara Ross	1969
Religion and the Rise of the University: A Study of the Secularization of American Higher Education, 1870-1910	1870	1910	Earl Brill	1969
Horthy, Hitler, and Hungary: A Contribution to the Study of German Hungarian Relations from June 1941 to the Fall of the Horthy Regime in October 1944	1941	1944	Mario Fenyo	1969
W. E. B. Du Bois and African Nationalism, 1914-45	1914	1945	Clarence Contee	1969
The Mexican Revolution and the National Presbyterian Church of Mexico, 1910-1940	1910	1940	Marian McKechnie	1970
Pre-Millennialism in America, 1865-1918, with Special Reference to Attitudes toward Social Reform	1865	1918	Paul Wilt	1970
The Council of State and Spanish America, 1814-1820	1814	1820	Enoch Resnick	1970
The Agrarian Revolution in the State of Veracruz, 1920-1940: The Role of Peasant Organizations (with) Appendices	1920	1940	Heather Fowler	1970
The South American Commission to the Three Americas Movement: The Politics of Pan Americanism, 1884-90	1884	1890	James Vivian	1971
The Tax Scandals of the 1950's	1950	1950	James Shelton	1971
Whampoa and the Nanking Decade (1924-1936)	1924	1936	Richard Gillespie	1971
The Iron Comandante: Major General Henry Tureman Allen, 1859-1930	1859	1930	Heath Twichell	1971
Black Politics in Cuba: The Race War of 1912	1912	1912	Rafael Fermoselle-Lopez	1972
The Movement for a National Archives of the United States, 1906-1926	1906	1926	Victor Gondos	1972
Private Enterprise and Public Spirit: Baltimore Privateering in the War of 1812	1812	1812	Jerome Garitee	1973
The Evolution of Selected Major English Socialist Periodicals, 1883-89	1883	1889	James Coolsen	1973
Germans in Paraguay, 1881-1945: A Study of Cultural and Social Isolation	1881	1945	Hans Hoyer	1973
Protestantism and the Religious Question in Brazil: 1850-1875	1850	1875	David Vieira	1973
The Recovery of Confederate Property and Other Assets Abroad, 1865-73	1865	1873	Carvel Painter	1973
The Impact of the French 'Challenge' in the Isthmus of Panama on the United States' Expansionism in the Caribbean, 1867-81	1867	1881	Stanley Thompson	1974
American Reformers and the Mexican Revolution: Progressives and Woodrow Wilson's Policy in Mexico, 1913-17	1913	1917	Tommie Sessions	1974
The Conservative Party in England, 1832-41: Role of the Candidate in Party Development	1832	1841	Quentin Zell	1975
For the Birds: Backgrounds of the Anglo-American Bird Treaty of 1916	1916	1916	Floyd Murdoch	1975
The Political Ideas of Felix Frankfurter, 1911-39	1911	1939	James Walsh	1976
Squatter City: The Construction of a New Community in the American West, 1854-1861	1854	1861	Rita Napier	1976
The Doukhobors, 1801-1855: The Origins of a Successful Dissident Sect	1801	1855	Gary Fry	1976
Americans Import Merit: Origins of the United States Civil Service System and the Influence of the British Model, 1865-1886	1865	1886	Richard Titlow	1977
The British Catholic Press and the Rise of Nazi Germany, 1933-40	1933	1940	Mario Mazzarella	1977
The War Crimes Issue At the Paris Peace Conference, 1919-20	1919	1920	David Foltz	1978
The House of Rotch: Whaling Merchants of Massachusetts, 1734-1828	1734	1828	Joseph McDevitt	1978
Strangers in a Strange Land: Five Russian Radicals Visit the United States, 1890-1908	1890	1908	Jane Good	1979
The Nonfraternal Association: Anglo-American Relations and the Breakdown of the Grand Alliance, 1945-47	1945	1947	Wayne Knight	1979
The Founding Fars and the Future of American Foreign Policy: Unity and Disunity, 1783-88	1783	1788	Thomas Jarvis	1980
Images of Sickness and Health in American Medical Though? 1776-1800 and 1835-65	1776	1865	Mary Wylie	1981
The European Advisory Commission and Allied Planning for a Defeated Germany, 1943-45	1943	1945	Edward Thomas	1981
U.S. Development Assistance to Rural Bolivia, 1941-1974: The Search for Development Strategy	1941	1974	Lawrence Heilman	1982
Prison Reformers and Penitential Publicists in France, England, and the United States, 1774-1847 (Punishments, Crime, Humanitarianism, Criminology) 	1774	1847	Robert Norris	1985
Three Southern Views of Reconciliation, Economic Recovery and Race in the New South, 1865-1900: As Seen in the Life and Work of Thomas Nelson Page, Joel Chandler Harris and George Washington Cable (Georgia, Virginia)	1865	1900	Emily Richardson	1987
Patrick Pearse and the Politics of Redemption: Mind of the Easter Rising, 1916	1916	1916	Sean Moran	1989
The Public Career of Sir Francis Reginald Wingate, High Commissioner for Egypt, 1917-19	1917	1919	Donald Coventry	1989
Rhetoric and Reality: Eisenhower Administration and Unrest in Eastern Europe, 1953-59	1953	1959	James Marchio	1990
Ideology and American Propaganda: Psychological Warfare Campaign Against Nazi Germany, 1941-45	1941	1945	Clayton Laurie	1990
Struggle for Predominance: Evolution and Consolidation of Nuclear Forces in the Strategic Air Command, 1945-55	1945	1955	William Borgiasz	1991
John Page of Rosewell: Reason, Religion, and Republican Government from the Perspective of a Virginia Planter, 1743-1808	1743	1808	Theodore McCord	1991
Re-Parishing the Countryside: Progressivism and Religious Interests in Rural Life Reform, 1908-34	1908	1934	Melissa Kirkpatrick	1991
Good Life in the Country: Rural Households and the American Pie, 1900-30	1900	1930	Sarah Larson	1992
Governing the Affairs of the Town: Continuity and Change in Rhode Island, 1750-1800	1750	1800	Ruth Herndon	1992
Good Americans: The Peekskill Riots of 1949	1949	1949	Joseph Walwik	1994
Converting America: Three Community Efforts to End the Cold War, 1956-73	1956	1973	R. Allen Smith	1995
Red Feminism: American Communism and the Women's Rights Tradition, 1919-56	1919	1956	Linn Shapiro	1996
Wrestling with the Angel: The Struggle of Roman Catholic Clergy, Physicians, and Believers with the Rise of Medical Practice, 1807-1940	1807	1940	Joseph Ryan	1997
Searching for Allies: The United States and Latin American Labor, 1945-51	1945	1951	Christopher Welch	1998
Race, Religion, and Civilization: The United States and Japan, 1868-1905	1868	1905	Joseph Henning	1998
'Strangers to Each Other': The American Encounter with Mexico, 1877-1910	1877	1910	Janice Jayes	1998
Strangers in a Middle Land: Italian Immigrants and Race Relations in Baltimore, 1890-1920	1890	1920	Gordon Shufelt	1998
'Why We Are Troubled': White Working-Class Politics in Baltimore, 1940-80	1940	1980	Kenneth Durr	1998
Treasonable Doubt: The Harry Dexter White Case, 1948-53	1948	1953	Bruce Craig	1999
Cold War at Sea: The Maritime Confrontation on and over the High Seas between the United States and the Soviet Union, 1945-89	1945	1989	David Winkler	1999
Nazi Colonial Dreams: German Policies and Ukranian Society in Zhytomyr, Ukraine, 1941-44	1941	1944	Wendy Lower	1999
Backing into the Buzzsaw: The Defense Department's Attempt to Merge the Military Traffic Management Command and the Military Sealift Command, 1973-1984	1973	1984	Mason Schaefer	2000
Beyond Darkness and Daylight: Constructing New York's Public Image, 1890-1930	1890	1930	Angela Blake	2000
The Quality of Mercy: Organized Animal Protection in the United States, 1866-1930	1866	1930	Bernard Unti	2002
Mermaids and Perpetual Motion: A Cultural History of Scientific Hoaxes in the United States, 1835-1910	1835	1910	Elizabeth Stewart	2003
Advocating 'The Man': Masculinity, Organized Labor, and the Market Revolution in New York, 1800-40	1800	1840	Joshua Greenberg	2003
Keeping House: Irish and Irish-American Women in the District of Columbia, 1850-90	1850	1890	Jennifer Altenhofel	2004
West Indians and Britishness, 1900-70	1900	1970	Anne Rush	2004
Malingering: Representations of Feigned Disease in American History, 1800-1920	1800	1920	Heidi Hackford	2004
Keeping Up with the Goldbergs: Gender, Consumer Culture, and Jewish Identity in Suburban Nassau County, 1946-60	1946	1960	Aleisa Fishman	2004
Refuge from Want? Virginia's Poorhouses, 1870-1930	1870	1930	Mary Henry	2006
Boom Town Girls: Women's Wartime Experiences in and Impact on Washington, DC, 1941-45	1941	1945	Cynthia  Gueli	2007
Allied Relief to Nazi-Occupied Territories during the Second World War, 1939-45	1939	1945	Meredith Hindley	2007
A Federal Foundation for Wildlife Conservation: The Evolution of the National Wildlife Refuge System, 1920-68	1920	1968	Michael Giese	2008
A Useful Mythology: Marijuana Prohibition in the 1930s	1930	1930	Keith Halderman	2010
The Triumph and Decline of the 'Squares': Grumman Engineers and Production Workers in the Space Race of the 1960s	1960	1960	David Onkst	2011
Beyond the Borders: Radicalized Evangelical Missionaries in Central America, 1950s-80s	1950	1950	Rodney Coeller	2012
Das Freie Wort? The Structuring of East and West German Political Culture through the American and Soviet Occupation Press, 1945-49	1945	1949	Robert Williams	2013
The Caudillo and the Good Neighbor: United States-Carías Relations, 1923-49	1923	1949	Adam Fenner	2013
Friends on the Outside: The Nixon White House and Mobilizing Support for the War in Vietnam, 1969-74	1969	1974	Sarah Thelen	2013
Confederate Nationalism in Georgia, Louisiana, and Virginia during the American Civil War, 1861-1965	1861	1965	Lynette Garrett	2013
City X: Planners, Citizens and the Culture of Civil Defense in Baltimore, 1950-62	1950	1962	Eric Singer	2013
Coalition of Convenience: The Roosevelt-Lewis Courtship, 1933-41	1933	1941	Charles McFarland	1965
Ricardo Flores Magon and the Liberal Party: An Inquiry into the Origins of the Mexican Revolution of 1910	1910	1910	Albro Ward	1967
Cattle Politics in Arizona, 1886-1941	1886	1941	James Wilson	1967
Proposals for Monarchy in Mexico, 1823-60	1823	1860	Frank Sanders	1967
Organized Labor and Its Fight against Military and Industrial Conscription, 1917-1945	1917	1945	James Sperry	1968
A History of the Langley Research Center, 1917-47	1917	1947	Michael Keller	1968
Soldier in the Southwest: The Career of General A. V. Kautz, 1869-86	1869	1886	Andrew Wallace	1968
The Politics of Federation in Central America, 1885-1921	1885	1921	Vincent Peloso	1969
